type,date,close
BLACKPINK,2015-01-01T00:00:00Z,0
BLACKPINK,2015-02-01T00:00:00Z,0
BLACKPINK,2015-03-01T00:00:00Z,0
BLACKPINK,2015-04-01T00:00:00Z,<1
BLACKPINK,2015-05-01T00:00:00Z,0
BLACKPINK,2015-06-01T00:00:00Z,0
BLACKPINK,2015-07-01T00:00:00Z,0
BLACKPINK,2015-08-01T00:00:00Z,0
BLACKPINK,2015-09-01T00:00:00Z,<1
BLACKPINK,2015-10-01T00:00:00Z,0
BLACKPINK,2015-11-01T00:00:00Z,0
BLACKPINK,2015-12-01T00:00:00Z,0
BLACKPINK,2016-01-01T00:00:00Z,<1
BLACKPINK,2016-02-01T00:00:00Z,0
BLACKPINK,2016-03-01T00:00:00Z,<1
BLACKPINK,2016-04-01T00:00:00Z,0
BLACKPINK,2016-05-01T00:00:00Z,<1
BLACKPINK,2016-06-01T00:00:00Z,<1
BLACKPINK,2016-07-01T00:00:00Z,<1
BLACKPINK,2016-08-01T00:00:00Z,1
BLACKPINK,2016-09-01T00:00:00Z,<1
BLACKPINK,2016-10-01T00:00:00Z,<1
BLACKPINK,2016-11-01T00:00:00Z,1
BLACKPINK,2016-12-01T00:00:00Z,<1
BLACKPINK,2017-01-01T00:00:00Z,<1
BLACKPINK,2017-02-01T00:00:00Z,<1
BLACKPINK,2017-03-01T00:00:00Z,<1
BLACKPINK,2017-04-01T00:00:00Z,<1
BLACKPINK,2017-05-01T00:00:00Z,<1
BLACKPINK,2017-06-01T00:00:00Z,1
BLACKPINK,2017-07-01T00:00:00Z,1
BLACKPINK,2017-08-01T00:00:00Z,1
BLACKPINK,2017-09-01T00:00:00Z,1
BLACKPINK,2017-10-01T00:00:00Z,1
BLACKPINK,2017-11-01T00:00:00Z,1
BLACKPINK,2017-12-01T00:00:00Z,1
BLACKPINK,2018-01-01T00:00:00Z,1
BLACKPINK,2018-02-01T00:00:00Z,1
BLACKPINK,2018-03-01T00:00:00Z,1
BLACKPINK,2018-04-01T00:00:00Z,1
BLACKPINK,2018-05-01T00:00:00Z,1
BLACKPINK,2018-06-01T00:00:00Z,2
BLACKPINK,2018-07-01T00:00:00Z,2
BLACKPINK,2018-08-01T00:00:00Z,1
BLACKPINK,2018-09-01T00:00:00Z,1
BLACKPINK,2018-10-01T00:00:00Z,1
BLACKPINK,2018-11-01T00:00:00Z,1
BLACKPINK,2018-12-01T00:00:00Z,1
BLACKPINK,2019-01-01T00:00:00Z,2
BLACKPINK,2019-02-01T00:00:00Z,3
BLACKPINK,2019-03-01T00:00:00Z,2
BLACKPINK,2019-04-01T00:00:00Z,5
BLACKPINK,2019-05-01T00:00:00Z,3
BLACKPINK,2019-06-01T00:00:00Z,2
BLACKPINK,2019-07-01T00:00:00Z,2
BLACKPINK,2019-08-01T00:00:00Z,2
BLACKPINK,2019-09-01T00:00:00Z,1
BLACKPINK,2019-10-01T00:00:00Z,1
BLACKPINK,2019-11-01T00:00:00Z,2
BLACKPINK,2019-12-01T00:00:00Z,1
BLACKPINK,2020-01-01T00:00:00Z,1
BLACKPINK,2020-02-01T00:00:00Z,1
BLACKPINK,2020-03-01T00:00:00Z,1
BLACKPINK,2020-04-01T00:00:00Z,2
BLACKPINK,2020-05-01T00:00:00Z,2
BLACKPINK,2020-06-01T00:00:00Z,3
BLACKPINK,2020-07-01T00:00:00Z,3
BLACKPINK,2020-08-01T00:00:00Z,3
BLACKPINK,2020-09-01T00:00:00Z,3
BLACKPINK,2020-10-01T00:00:00Z,5
BLACKPINK,2020-11-01T00:00:00Z,3
BLACKPINK,2020-12-01T00:00:00Z,3
BLACKPINK,2021-01-01T00:00:00Z,3
BLACKPINK,2021-02-01T00:00:00Z,3
BLACKPINK,2021-03-01T00:00:00Z,2
BLACKPINK,2021-04-01T00:00:00Z,2
BLACKPINK,2021-05-01T00:00:00Z,2
BLACKPINK,2021-06-01T00:00:00Z,2
BLACKPINK,2021-07-01T00:00:00Z,2
BLACKPINK,2021-08-01T00:00:00Z,2
BLACKPINK,2021-09-01T00:00:00Z,2
BLACKPINK,2021-10-01T00:00:00Z,2
BLACKPINK,2021-11-01T00:00:00Z,2
BLACKPINK,2021-12-01T00:00:00Z,2
BLACKPINK,2022-01-01T00:00:00Z,2
BLACKPINK,2022-02-01T00:00:00Z,2
BLACKPINK,2022-03-01T00:00:00Z,1
BLACKPINK,2022-04-01T00:00:00Z,2
BLACKPINK,2022-05-01T00:00:00Z,2
